240,82,90
240,81,88
230,81,89
230,79,90
220,78,86
220,78,88
210,78,87
210,79,86
200,76,85
200,78,84
190,78,87
190,75,84
180,74,85
180,72,84
170,73,84
170,71,82
160,72,85
160,71,83
150,70,84
150,69,80
140,68,80
140,66,80
130,62,79
130,61,76
120,60,76
120,57,76
110,56,74
110,54,71
100,53,69
100,50,70
90,48,68
90,42,67
80,39,63
80,35,60
70,35,56
70,31,52
60,31,52
60,27,48
50,25,44
50,20,37
60,16,31
60,20,32
70,22,36
70,24,40
80,29,45
80,33,50
90,37,56
90,39,60
100,40,65
100,43,66
110,44,67
110,47,68
120,48,73
120,57,74
130,56,76
130,61,77
140,60,78
140,63,79
150,62,79
150,66,80
160,66,81
160,70,82
170,69,82
170,72,86
180,74,84
180,79,84
190,75,85
190,77,86
200,76,87
200,81,87
210,76,86
210,75,89
220,78,88
220,83,88
230,81,89
230,82,88
240,82,89
240,83,88
