125,19,24
130,45,55
135,50,71
140,53,77
140,53,78
145,56,79
150,56,80
155,57,80
155,62,81
160,63,80
165,63,83
170,64,82
170,68,84
175,66,84
170,68,84
165,70,85
165,68,82
160,65,82
155,65,84
150,66,84
150,64,80
145,62,80
140,64,80
135,64,80
135,58,80
220,79,90
215,82,88
210,82,88
210,80,89
205,77,88
200,77,89
195,80,86
195,77,88
190,78,86
185,76,88
180,76,87
180,74,84
175,74,84
170,72,86
165,71,83
165,70,83
160,70,84
155,72,82
150,68,81
150,66,84
145,68,81
140,67,80
135,66,81
135,66,79
130,62,77
125,63,77
130,60,77
130,60,76
135,62,76
140,61,77
145,64,78
145,67,79
150,67,79
155,69,82
160,69,83
160,69,82
165,68,84
170,69,81
175,70,83
175,71,83
180,73,84
185,75,84
190,77,86
190,75,84
195,75,86
200,76,86
205,77,87
205,78,86
210,78,88
215,81,89
220,81,87
220,81,89
225,84,90
220,81,89
215,81,92
215,81,86
210,80,89
205,80,87
200,78,86
200,79,87
195,77,85
190,78,87
185,75,84
185,75,85
180,74,84
175,74,83
170,74,84
170,73,83
165,76,83
160,73,84
155,73,84
155,69,81
150,68,81
145,68,80
140,66,78
140,63,79
135,63,79
130,63,77
125,62,77
125,61,76
130,61,76
135,62,76
140,64,78
140,62,78
145,63,78
150,62,78
155,64,80
155,69,81
160,71,81
165,70,80
170,70,83
170,73,84
175,75,85
180,74,84
185,77,84
185,76,88
190,76,85
195,76,86
200,77,91
200,79,86
205,76,86
210,81,86
215,81,86
215,82,88
220,81,88
225,78,88
220,82,88
220,82,88
215,80,87
210,80,89
205,79,87
205,81,88
200,79,88
195,74,86
190,72,87
190,77,85
185,75,85
180,79,85
175,74,85
175,73,84
170,73,82
165,73,82
160,72,84
160,73,84
155,71,82
150,72,81
145,67,81
145,67,79
140,67,80
135,67,79
130,66,80
130,63,77
125,63,76
130,58,74
135,61,76
135,64,79
140,64,80
145,66,78
150,67,80
150,67,81
155,69,82
160,71,83
165,72,83
165,72,84
170,71,82
175,72,84
180,74,83
180,74,86
185,75,84
190,77,85
195,78,88
195,80,89
200,78,87
205,80,87
210,72,90
210,76,84
215,74,88
220,79,89
